,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,0,Mar 05,0,0,0,0.0
20,0,Mar 06,0,0,0,0.0
21,0,Mar 07,0,0,0,0.0
22,0,Mar 08,0,0,0,0.0
23,0,Mar 09,0,0,0,0.0
24,0,Mar 10,0,0,0,0.0
25,0,Mar 11,0,0,0,0.0
26,2,Mar 12,0,2,0,0.0
27,2,Mar 13,0,0,0,0.0
28,2,Mar 14,0,0,0,0.0
29,6,Mar 15,0,4,0,0.0
30,6,Mar 16,0,0,0,0.0
31,7,Mar 17,0,1,0,0.0
32,7,Mar 18,0,0,0,0.0
33,11,Mar 19,0,4,0,0.0
34,16,Mar 20,0,5,0,0.0
35,21,Mar 21,1,5,0,0.047619047619047616
36,23,Mar 22,1,2,0,0.043478260869565216
37,27,Mar 23,2,4,1,0.07407407407407407
38,53,Mar 24,2,26,0,0.03773584905660377
39,68,Mar 25,4,15,2,0.058823529411764705
40,132,Mar 26,4,64,0,0.030303030303030304
41,137,Mar 27,4,5,0,0.029197080291970802
42,141,Mar 28,5,4,1,0.03546099290780142
43,152,Mar 29,5,11,0,0.03289473684210526
44,152,Mar 30,5,0,0,0.03289473684210526
45,161,Mar 31,5,9,0,0.031055900621118012
46,195,Apr 01,5,34,0,0.02564102564102564
47,204,Apr 02,5,9,0,0.024509803921568627
48,205,Apr 03,5,1,0,0.024390243902439025
49,205,Apr 04,5,0,0,0.024390243902439025
50,214,Apr 05,5,9,0,0.02336448598130841
51,214,Apr 06,5,0,0,0.02336448598130841
52,287,Apr 07,5,73,0,0.017421602787456445
53,313,Apr 08,6,26,1,0.019169329073482427
54,378,Apr 09,6,65,0,0.015873015873015872
55,378,Apr 10,6,0,0,0.015873015873015872
56,408,Apr 11,8,30,2,0.0196078431372549
57,566,Apr 12,8,158,0,0.014134275618374558
58,566,Apr 13,8,0,0,0.014134275618374558
59,636,Apr 14,8,70,0,0.012578616352201259
60,641,Apr 15,8,5,0,0.0124804992199688
61,641,Apr 16,8,0,0,0.0124804992199688
62,641,Apr 17,8,0,0,0.0124804992199688
63,834,Apr 18,9,193,1,0.01079136690647482
64,1042,Apr 19,9,208,0,0.008637236084452975
65,1042,Apr 20,9,0,0,0.008637236084452975
66,1042,Apr 21,9,0,0,0.008637236084452975
67,1154,Apr 22,9,112,0,0.00779896013864818
68,1154,Apr 23,9,0,0,0.00779896013864818
69,1279,Apr 24,10,125,1,0.007818608287724784
70,1279,Apr 25,10,0,0,0.007818608287724784
71,1550,Apr 26,11,271,1,0.0070967741935483875
72,1550,Apr 27,11,0,0,0.0070967741935483875
73,1671,Apr 28,16,121,5,0.009575104727707959
74,1671,Apr 29,16,0,0,0.009575104727707959
75,2074,Apr 30,17,403,1,0.00819672131147541
76,2074,May 01,17,0,0,0.00819672131147541
77,2169,May 02,18,95,1,0.008298755186721992
78,2169,May 03,18,0,0,0.008298755186721992
79,2719,May 04,18,550,0,0.0066200809121000365
80,2719,May 05,18,0,0,0.0066200809121000365
81,3091,May 06,18,372,0,0.005823358136525397
82,3091,May 07,18,0,0,0.005823358136525397
