,Cases,Deaths,Daily Cases,Daily Deaths,CFR
0,0,0,0,0,0.0
1,0,0,0,0,0.0
2,0,0,0,0,0.0
3,0,0,0,0,0.0
4,0,0,0,0,0.0
5,0,0,0,0,0.0
6,0,0,0,0,0.0
7,0,0,0,0,0.0
8,0,0,0,0,0.0
9,0,0,0,0,0.0
10,0,0,0,0,0.0
11,0,0,0,0,0.0
12,0,0,0,0,0.0
13,0,0,0,0,0.0
14,0,0,0,0,0.0
15,0,0,0,0,0.0
16,0,0,0,0,0.0
17,0,0,0,0,0.0
18,0,0,0,0,0.0
19,0,0,0,0,0.0
20,1,0,1,0,0.0
21,6,0,5,0,0.0
22,7,0,1,0,0.0
23,9,0,2,0,0.0
24,11,0,2,0,0.0
25,17,0,6,0,0.0
26,22,0,5,0,0.0
27,38,0,16,0,0.0
28,43,0,5,0,0.0
29,71,0,28,0,0.0
30,86,0,15,0,0.0
31,117,0,31,0,0.0
32,145,0,28,0,0.0
33,234,1,89,0,0.004273504273504274
34,263,4,29,3,0.015209125475285171
35,318,5,55,1,0.015723270440251572
36,363,5,45,0,0.013774104683195593
37,395,5,32,0,0.012658227848101266
38,416,7,21,2,0.016826923076923076
39,480,9,64,2,0.01875
40,580,9,100,0,0.015517241379310345
41,635,11,55,2,0.01732283464566929
42,671,16,36,5,0.02384500745156483
43,852,18,181,2,0.02112676056338028
44,950,24,98,6,0.02526315789473684
45,1065,30,115,6,0.028169014084507043
46,1323,38,258,8,0.02872260015117158
47,1414,55,91,17,0.038896746817538894
48,1595,61,181,6,0.03824451410658307
49,1746,73,151,12,0.0418098510882016
50,2281,83,535,10,0.03638754932047348
51,2561,92,280,9,0.035923467395548615
52,2954,107,393,15,0.036222071767095465
53,4342,121,1388,14,0.027867342238599723
54,5256,138,914,17,0.026255707762557076
55,5897,169,641,31,0.02865863998643378
56,6848,181,951,12,0.02643107476635514
57,7519,193,671,12,0.025668306955712195
58,9784,216,2265,23,0.022076860179885527
59,10303,230,519,14,0.022323595069397264
60,11475,254,1172,24,0.02213507625272331
61,12491,274,1016,20,0.021935793771515492
62,13489,300,998,26,0.022240343983986954
63,14420,348,931,48,0.024133148404993063
64,15628,400,1208,52,0.025595085743537242
65,16325,445,697,45,0.027258805513016845
66,17837,484,1512,39,0.027134607837640858
67,19250,530,1413,46,0.027532467532467533
68,20914,572,1664,42,0.027350100411207803
69,21648,634,734,62,0.029286770140428676
70,25331,700,3683,66,0.0276341241956496
71,27517,728,2186,28,0.026456372424319512
72,28699,782,1182,54,0.027248336178960938
73,31190,854,2491,72,0.027380570695735813
74,33931,943,2741,89,0.027791694910259054
75,36976,1051,3045,108,0.02842384249242752
76,40459,1124,3483,73,0.0277812106082701
77,42534,1200,2075,76,0.028212723938496262
78,45928,1286,3394,86,0.028000348371363875
79,47372,1344,1444,58,0.028371189732331336
80,51189,1444,3817,100,0.028209185567211706
81,54817,1533,3628,89,0.02796577703996935
